user_id,cluster,episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode,features,index
0,1.0,,10057.0,Family,Australia Remastered: Wild Wars,,,"Life in Australia is a battle. Shaped by the challenges of epic environments the creatures of the island continent compete for mating rights, to eat, and avoid being eaten.","[""While forests only cover 16% of Australia's land area, they harbour a higher concentration of animal species than anywhere else on the continent."", 'Wetlands are a critical part of our natural environment. They protect our shores from wave action, reduce the impacts of floods, absorb pollutants and improve water quality.', ""Australia is an island continent boasting nearly 35,000 kilometres of coastline. Humans come to the seaside to relax, but for tens of thousands of species that live and breed on our coast, it's a battleground."", 'Australia is the driest inhabited continent on earth, with 70% of the land mass declared an arid zone. Spanning five million square kilometres, this zone is one of the most exposed areas on the planet.']","['ABC TV', 'DOCUMENTARY', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1842H004S00_602b4d579c55d.jpg,"[""['Host Aaron Pedersen']""]","['ns:be-informed', 'natural-world', 'wildlife', 'a:older-sink-dink', 'factual', 'docuseries', 'explore', 'science-week', 'a:retirees', 'family-viewing', 'a:established-parents', 'ns:understand', 'informative', 'animals', 'nature', 'australia', 'environment', 'docs', 'ocean', 'abc1']",2021-03-02 22:33:27,G,"[3235.0, 3265.0, 3280.0, 3240.0]",,,life australia battle shaped challenge epic environment creature island continent compete mating right eat avoid eaten,57.0
0,12.0,Opera on Sydney Harbour: Carmen,322.0,Comedy,Opera on Sydney Harbour: Carmen,,Opera on Sydney Harbour: Carmen,"Opera Australia performs Bizet's Carmen, against the backdrop of Sydney Harbour. Naive soldier Don Jose abandons his childhood sweetheart and deserts the army when he falls under the spell of an alluring gypsy.","Opera Australia performs Bizet's Carmen, against the backdrop of Sydney Harbour. Naive soldier Don Jose abandons his childhood sweetheart and deserts the army when he falls under the spell of an alluring gypsy.","['ABC TV', 'ABC ARTS', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9546A001S00_6076451a49026_1280.jpg,"[""['Director Cameron Kirkpatrick']""]","['abc1', 'abcarts', 'arts', 'opera', 'performance', 'love', 'relationships', 'emotional', 'intense', 'compelling']",2021-06-18 07:00:00,PG,8467.0,,,opera australia performs bizet carmen backdrop sydney harbour naive soldier jose abandon childhood sweetheart desert army fall spell alluring gypsy,
1,8.0,Bronwyn Oliver: The Shadows Within,243.0,Documentary,Bronwyn Oliver: The Shadows Within,,Bronwyn Oliver: The Shadows Within,"This intimate documentary follows the journey of Bronwyn Oliver, a working-class girl from the country who became one of Australia's most influential contemporary sculptors.","This intimate documentary follows the journey of Bronwyn Oliver, a working-class girl from the country who became one of Australia's most influential contemporary sculptors.","['ABC TV Plus', 'ABC ARTS', 'ARTS & CULTURE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/ac/AC2014H001S00_6152912688858.jpg,['[]'],"['abc2', 'arts', 'abcarts', 'docs', 'factual', 'new-south-wales', 'inspirational', 'biography', 'behind-the-scenes', 'artists', 'sculpture', 'compelling', 'revealing', 'informative', 'gender', 'know-my-name', 'australia']",2021-10-13 21:03:54,PG,3567.0,,,intimate documentary follows journey bronwyn oliver workingclass girl country became one australia influential contemporary sculptor,
1,4.0,Weird Australia,213.0,Documentary,Weird Australia,,Weird Australia,"With the help of eyewitness accounts, qualified experts and amateur footage, Moataz Hamde explores the uncanny truth behind some of Australia's bizarre natural phenomena. From tornadoes made of fire, to neon pink lakes and waterfalls that run sideways, Mo delves into the strangest, most mind-boggling things that Aussie nature can serve up.","With the help of eyewitness accounts, qualified experts and amateur footage, Moataz Hamde explores the uncanny truth behind some of Australia's bizarre natural phenomena. From tornadoes made of fire, to neon pink lakes and waterfalls that run sideways, Mo delves into the strangest, most mind-boggling things that Aussie nature can serve up.","['ABC TV', 'SCIENCE', 'REGIONAL AUSTRALIA', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/sq/SQ2103H001S00_61b9147f5be00_3600.jpg,"[""['Host Moataz Hamde']""]","['abc1', 'science', 'australia', 'nature', 'wildlife', 'environment', 'regional', 'quirky', 'revealing', 'travel', 'docs', 'factual', 'natural-world', 'funny', 'feel-good', 'informative']",2022-01-01 09:29:00,PG,1802.0,,,help eyewitness account qualified expert amateur footage moataz hamde explores uncanny truth behind australia bizarre natural phenomenon tornado made fire neon pink lake waterfall run sideways mo delf strangest mindboggling thing aussie nature serve,
2,2.0,,10054.0,Family,Australia Remastered: Nature's Great Divide,,,The hard line that separates the natural worlds of Asia from Australia is the leaping off point for amazing wild stories. The strong currents along the Wallace Line creates parallel narratives of fascinating differences.,"[""The narrow strait between the Indonesian islands of Bali and Lombok marks the boundary between the wild worlds of Asia and Australia. This is the story of life on each side of nature's great divide."", 'The Wallace Line divides separate worlds, where radically different animals live remarkably similar lives. This is the story of two parallel creations, and what happens when these worlds collide.', ""Safe behind the Wallace Line, life in Australia charted its own evolutionary course, in habitats defined by natural borders. This is the story of the wild kingdoms protected by Nature's Great Divide. (Final)""]","['ABC TV', 'DOCUMENTARY', 'SCIENCE', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1955H001S00_619c51f6d1696_1920.jpg,"[""['Host Aaron Pedersen']""]","['ocean', 'informative', 'natural-world', 'animals', 'factual', 'science', 'explore', 'docuseries', 'family-viewing', 'nature', 'abc1', 'australia', 'environment', 'wildlife', 'docs']",2021-12-07 21:27:05,G,"[3240.0, 3240.0, 3200.0]",,,hard line separate natural world asia australia leaping point amazing wild story strong current along wallace line creates parallel narrative fascinating difference,54.0
2,12.0,I'm Wanita,219.0,Documentary,I'm Wanita,,I'm Wanita,"The story of Australia's Queen of Honky Tonk, Wanita Bahtiyar, a renegade country music singer on a mission to record an album in Nashville, USA to realise a lifelong dream of stardom before it's too late. (2021)","The story of Australia's Queen of Honky Tonk, Wanita Bahtiyar, a renegade country music singer on a mission to record an album in Nashville, USA to realise a lifelong dream of stardom before it's too late.","['ABC TV Plus', 'ABC TV', 'DOCUMENTARY', 'ARTS & CULTURE', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/ac/AC1829H001S00_620b29b5c9335.jpg,['[]'],"['abc2', 'abc1', 'docs', 'factual', 'abcarts', 'arts', 'culture', 'music', 'country-music', 'regional', 'biography', 'compelling', 'revealing', 'inspirational', 'informative', 'irreverent', 'lighthearted', 'quirky', 'pop-culture', 'gender', 'diversity', 'empowerment', 'know-my-name', 'australia', 'nashville', 'usa']",2022-04-01 20:32:00,M,3525.0,,,story australia queen honky tonk wanita bahtiyar renegade country music singer mission record album nashville usa realise lifelong dream stardom late 2021,
3,1.0,,10290.0,Kids,Little J And Big Cuz Indigenous Languages,,,"Little J and Big Cuz are Indigenous Australian kids living with their Nanna and Old Dog, the dog. Spoken in the Indigenous languages of Gija, Noongar, Torres Strait Creole, Palawa Kani, Warlpiri and Djambarrpuyngu.","['Nanna is unwell so Little J and Big Cuz eagerly take over running the house  their way! Fun ways to do housework soon descend into slapstick chaos. Spoken in the Indigenous language of Warlpiri.', ""Little J and Big Cuz are worried when Old Dog goes missing. Surely with Uncle Mick they'll find him. Meanwhile, cheeky Old Dog is safe and sound - causing havoc in Big Cuz's bed! Spoken in the Indigenous language of Gija."", 'Its the School Footy Match this week! Big Cuz reluctantly agrees to be the commentator, while Little J boasts hell kick twenty goals. Spoken in the Indigenous language of Warlpiri.', 'Big Cuz is excited - Nannas taking the class out bush to gather pandanus for weaving. But Nanna is called in to work so Big Cuz takes over, with comically chaotic results. Spoken in the Indigenous language of Djambarrpuyngu.', ""Little J and Big Cuz are worried when Old Dog goes missing. Surely with Uncle Mick they'll find him. Meanwhile, cheeky Old Dog is safe and sound - causing havoc in Big Cuz's bed! Spoken in the Indigenous language of Noongar."", ""Big Cuz learns that her teacher has never seen kangaroos or emus up close. She's delighted when Ms Chen accepts the invitation to go camping out bush. Spoken in the Indigenous language of Gija."", ""Little J and Big Cuz are worried when Old Dog goes missing. Surely with Uncle Mick they'll find him. Meanwhile, Old Dog is safe and sound - causing havoc in Big Cuz's bed! Spoken in the Indigenous language of Djambarrpuyngu."", ""It's an adventure going to Mutton Bird Island, and Little J can't wait to show B Boy the rookery with Uncle Mick. After B Boy sees a snake, Little J takes him under his wing. Spoken in the Indigenous language of Palawa Kani."", 'The School Sleepover is exciting...and challenging. Little Js scared of the dark and Big Cuz still sleeps with her teddy. Can they get through the night? Spoken in the Indigenous language of Torres Strait Creole.', 'Nanna is unwell so Little J and Big Cuz eagerly take over running the house  their way! Fun ways to do housework soon descend into slapstick chaos. Spoken in the Indigenous language of Noongar.', ""Little J and Big Cuz are worried when Old Dog goes missing. Surely with Uncle Mick they'll find him. Meanwhile, Old Dog is safe - causing havoc in Big Cuz's bed! Spoken in the Indigenous language of Torres Strait Creole.""]","['ABC Kids', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1942H009S00_5efec29313701_1280.jpg,['[]'],"['littlejin', 'abc4kids', 'education']",2021-07-31 06:00:00,G,"[760.0, 778.0, 706.0, 704.0, 720.0, 760.0, 727.0, 720.0, 696.0, 720.0, 698.0]",,,little j big cuz indigenous australian kid living nanna old dog dog spoken indigenous language gija noongar torres strait creole palawa kani warlpiri djambarrpuyngu,290.0
3,2.0,,10195.0,Comedy,Gardening Australia - My Garden Path,,,Gardening Australia is hosted by Costa Georgiadis and an on screen team of horticultural experts from around the country who cater to all gardeners from the beginner to the expert.,"['We meet a horticulturalist and indoor plant collector to discover her passion for rare species and meet some of the stranger plants in her collection.', 'We meet a garden designer who celebrates texture and contrastin hiscoastal garden.', 'Meet a team of rangers and researchers who are working together to grow a wider understanding of cultural burning, and the role it plays in caring for Country.', ""Andrew Kelly works as a Riverkeeper on Melbourne's iconic Yarra River, and he sees the river, it's banks and surrounding flora as one living entity, a river of green."", 'Sam Cox is a Victorian-based landscape designer, who has a passion for creating naturalistic garden designs. Sam grew up on farm at Yandoit Victoria, his parents being what he refers to as ‘tree-changers’.', 'Children’s book author and artist Jeannie Baker is best known for her unique collage style artworks that use a multitude of natural materials to create 3D landscapes, animals and gardens to accompany her stories.', 'A young lad’s passion for cactus has led to a lifelong addiction for Lester Meyers who has a collection of over 1000 cacti species in his hometown of Gilgandra.', 'We meet ecological artist Lloyd Godman, whose experimental work is linked to a fascination with some very particular plants.', 'We meet Indigenous horticulturist and educator Kris Schaffer, whose native garden is built on bushfoods and belonging.', 'Dr Jodi Rowley has made it her life’s work to study and protect Australia’s amazing frogs. She’s says her work is a ‘passion’ because it often means going out at night, covered in mud and getting bitten by mosquitoes.', 'Pete and wife Sylvia have worked their 6-hectare property for over 20 years, with about 3 ½ hectares under intensive cultivation.  Their garden is a working system, part of their everyday lives. Pete is a full-time ‘permie’.', 'Meet a designer from Brisbane whose love of plants and approach to landscape is intimately entwined with her own family story.', 'We meet asecond-generationflorist in the Dandenong Ranges who is passionate about makingfloristry more sustainable.', ""We meet bookseller Gil Teague, who ran Australia's only bookshop dedicated to plants and gardening for 30 years."", 'We meet a Dubbo fisherman who is revitalising his local river bank to improve the health of the waterway.', 'Paul Haar is a visionary architect whose approach to buildings is guided by a relationship with the landscape and knowing where the timber we use to build originates.', 'Meet a botanical embroiderer who has travelled Australia collecting the inspiration for her intricate stitching, Australian flora.', 'We head to Australia’s biggest tulip farm and meet a fourth-generation family of farmers growing millions of blooms. Paul and Dave Roberts-Thomsons also share some top tulip tips for home gardeners.', 'We meet a horticulturist whose work and leadership have helped a whole community of gardeners to grow.', 'Meet renowned conductor and Artistic Director of the Victorian Opera, Richard Mills, who has a lifelong passion for growing orchids.', 'Permaculture designer and teacher Hannah Maloney, her partner and young daughter live just outside of Hobart. Despite the steep slope of the land, Hannah and her family have converted this site into a productive paradise.', 'We meet two talented textile designers who have taken to technicolour fabric to express their love of Australian plants.', ""Meet young environmental warrior Gio Fitzpatrick and find out how his passion for ecology and documenting biodiversity in urban areas is shaping the environment of Melbourne's inner-southeast."", 'Simon Rickard is, in one word, a creative. He is a baroque bassoonist, author, garden designer and botanical tour leader, but, first and foremost, he is a gardener. ', 'Meet garden designer Barbara Landsberg who uses ""the tools of the earth"" to bring back life and a sense of wellbeing to any space, big or small.', 'We meet jewellery designer Ada Hodgson who creates delightful pieces inspired by her own garden.', 'Meet a farmer and forest scientist who has spent 30 years researching, growing and harvesting a very important crop - trees.', ""Meet visual artist Sally Blake and find out how her work explores the hidden world of dyes awaiting in one of Australia's most familiar plants."", 'We meet Yindjibarndi artist Katie West to explore how her plant-based art practice has helped her connect with her culture and history.', 'Being in nature reduces stress and blood pressure and improves concentration, says occupational therapist Bronwyn Paynter. At 28 Bronwyn was diagnosed with breast cancer the hospital was next to a botanic garden, which she found a restful place to be between treatments.', 'Adriana Picker is a botanical illustrator and lifelong gardener, turning three generations of plant passion into bright, colourful blooms for prints and commercial projects.', 'Gardening Australia presenter Clarence Slockee leads us through Bundjalung country to explain his deep running connection to plants.', 'We meet the people behind ICaN Growing Nursery, a native Indigenous run nursery in Dubbo that is giving people new skills, jobs and a connection to the local flora.', 'Jax Bergersen founded the Kuranda Conservation Community Nursery to supply cassowaries with their favourite food. She knows that’s what they eat as she goes out and collects fresh cassowary droppings to extract the seeds!', 'A behind-the-scenes look at Costa Georgiadis, before he became the bearded face of Gardening Australia.', 'We meet Will Salter, a garden and nature photographer whose work inspires his own garden.', 'We meet a couple who have travelled the world to build an incredible collection of rare and unusual equatorial plant species.', 'Kate Cullity is an extraordinary landscape designer. She is a visionary, highly regarded within her field, and along with her company is responsible for many of Australia’s most recognisable public and private landscapes.', ""Tisha Tejaya has recently illustrated a pocketbook guide to Darwin's local produce and markets. The project connected her with migrant and refugee growers and vendors, and with her own Chinese-Indonesian cultural heritage."", 'We meet a nature photographer who embraced having less work and extra time in 2020 by documenting the creation of his dream vegie patch.', 'Meet illustrator Brenna Quinlan, who is happiest when she can combine her talent for art with her passion for permaculture and sustainable living.', ""Meet a pollination scientist who's looking into how some of our smallest orchid species can tell us so much about the wider eco-system."", 'We meet elder Fran Bodkin, a scientist and educator who shares the importance of native plants for food, medicine, and culture.', 'Ick Chu is a self-taught topiarist from Melbourne’s western suburbs whose garden has become a tourist hotspot.  ', ""Follow the path of landscape architect Andrew Laidlaw, to learn more about his life and his role in creating some of Melbourne's most beloved landscapes."", 'We meet ecologist, Environmental photographer, natural historian and fungi fanatic Alison Pouliot who is determined to change the way we understand this amazing Kingdom and our relationships to it.', 'We visit Leonie Norrington, who was a Gardening Australia presenter from 2004 to 2011, filming many segments from her property near Darwin.', 'Novelist and television presenter Holly Ringland is back in Australia and using her creative powers to share the magic of nature with others.', ""Meet biodiversity director Annette Rypalski, who looks after the rare and endangered animals living at Victoria's Mt Rothwell sanctuary."", 'Artists Wona Bae and Charlie Lawler have been working together for 12 years. Their backgrounds are in design, with Wona coming from a fashion base and Charlie from permaculture, but together they work as floral designers.', 'We step inside Williamstown Botanic Gardens to meet curator Shelley Wood, a remarkable woman who has literally spent a lifetime growing in, and with, this beautiful garden.', 'We meet Man and Wah Cheung, twin brothers and creative partners, who combine their photography and graphic design skills to capture plants in stunning detail.', 'Dr Dean Nicolle, who planted his first eucalypts at a fledging arboretum in Currency Creek when he was 15, has dedicated his life to this diverse and intriguing group of trees.', 'We take a look at Maranoa Gardens home to Australia’s most impressive and earliest collection of native flora, planted by John Watson in 1901.', ""Meet Rebekah Trevor and find out how this young woman's passion for bromeliads has allowed her to travel the world in pursuit of these fascinating plants and expand the family business."", ""We visit a flower farm in Melbourne's outer east and find out how a farmer and his three sons have been growing daffodils for three generations."", 'We meet a contemporary Artist Gardener in her Adelaide Hills home and studio.', ""We meet comedian Claire Hooper at her parent's plant nursery in Perth and see how a childhood surrounded by horticulture influenced her choices in life."", 'Find out how Tino developed his love of plants and gardening and turned his passion into a career.', 'For Australian Pollinator Week, we meet photographer and ecologist Dr Luis Mata whose keen eye for insects puts them in a whole new light.', 'Paula Peeters and Raymond Carpenter met as young scientists doing rainforest research in New Caledonia Paula now works as a writer and ecologist, and Ray is a paleobotanist, living on the edge of the Gondwana rainforests.', 'Meet an artist whose textural work is inspired by the natural landscape of the Noosa National Park.', 'Baz Blain is a gardener with an almost obsessive love of Wollemi pines. A council horticulturist, he looks after the many parks and reserves in historic Richmond,Tasmania, then heads home to his hundreds pots of plants.', 'Angela Moles, a professor in the School of Biological, Earth and Environmental Sciences at UNSW. She’s is leading a team of plant ecology students looking at introduced weeds and how they adapt to Australian conditions.', ""We meet artist Trish Oktober, whose Blue Mountains garden inspires both her art and many of her children's books."", 'Garden designer Fiona Brockhoff shares the plants and landscapes that inspire her creations.', 'We meet a botanical perfumer to learn about how she combines her love for plants with the world of scent.', 'Meet lifelong plantsman, Lyle Filippe, collector, professional propagator and dedicated plant rescuer.', 'Meet super-keen, newly converted food producer Jian Liu, who has turned her whole suburban garden - and much of her life - over to edible plants.', 'Visit the bush garden of Maria Hitchcock, a leading figure of the native plant-growing movement and personally responsible for formalising Wattle Day.', 'We head to Cairns in North Queensland and meet Matt Mitchley, a prehistoric plant enthusiast whose collection ranges from classic to Jurassic!', 'Horticulturist Andrew Price lives on a main road in north-west Sydney, so he has created a garden that could be viewed from the street.', 'Keith Wallace and Gordon Giles are business partners, talented nurserymen and best mates, and together have developed a reputation for growing top quality orchids, indoor plants and ferns at their wholesale nursery.', 'Meet foodie turned farmer Palisa Anderson and find out how she went from the kitchen to the paddock.', 'To celebrate book week, we meet illustrator and author TraceBalla, who paints delicately detailed pictures of plants and wildlife in her storybooks for children.', 'Jack Latti is a landscape designer and ceramicist. Jack grew up in South Africa and his father and grandfather both loved gardening and would take Jack on trips to save wild plants from development.', 'Stephen hosted Gardening Australia for three years but has almost always been a plant collector. He lives in Macedon and regularly opens his garden Tugurium to the public.', 'For a keen gardener, Michael McCoy is living the dream – spending his time with plants as a garden designer, author, blogger and host of ABC’s Dream Gardens.', 'Meet a specialist bulb grower, who responded to COVID-19 lockdowns by gifting some garden joy.', 'We meet expert rose pruner Tate Hancox, who is happiest when surrounded by plants.', 'We visit the Melbourne home of an interior stylist and furniture designer who has a stunning indoor plant collection.', 'Meet botanist and PhD candidate Laura Skates who has been looking at the appetite of some of our most unique plant species.', 'Meet Darwin horticulturist Ben Wirth, who spends his days hunting down and collecting seeds of the unique plant species of the Northern Territory.']","['ABC TV', 'LIFESTYLE', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/rk/RK1905V013S00_6023663a04b74.jpg,['[]'],"['diversity', 'melbourne', 'australian-capital-terrirory', 'regional', 'home', 'darwin', 'victoria', 'aussie', 'refugees', 'queensland', 'abc-life', 'garden', 'sydney', 'brisbane', 'lifestyle', 'cald', 'environment', 'northern-territory', 'aboriginal', 'canberra', 'indigenous', 'science', 'western-australia', 'abc1', 'arts', 'languages-other-than-english', 'food-cooking', 'new-south-wales']",2021-02-12 07:00:00,G,"[372.0, 366.0, 509.0, 407.0, 385.0, 467.0, 401.0, 480.0, 341.0, 477.0, 443.0, 434.0, 443.0, 355.0, 458.0, 416.0, 501.0, 389.0, 381.0, 403.0, 464.0, 362.0, 470.0, 470.0, 391.0, 376.0, 474.0, 433.0, 506.0, 346.0, 459.0, 530.0, 464.0, 527.0, 452.0, 391.0, 442.0, 297.0, 487.0, 379.0, 418.0, 367.0, 497.0, 339.0, 601.0, 395.0, 445.0, 517.0, 503.0, 308.0, 329.0, 398.0, 398.0, 390.0, 456.0, 420.0, 441.0, 543.0, 410.0, 362.0, 473.0, 442.0, 274.0, 397.0, 450.0, 486.0, 303.0, 405.0, 434.0, 413.0, 479.0, 432.0, 409.0, 484.0, 436.0, 398.0, 431.0, 434.0, 403.0, 426.0, 418.0, 445.0, 415.0]",,,gardening australia hosted costa georgiadis screen team horticultural expert around country cater gardener beginner expert,195.0
4,8.0,Australia: The Wild Top End,155.0,Family,Australia: The Wild Top End,,Australia: The Wild Top End,Come with us on an epic journey through some of the wildest landscapes on Earth as we take you deep into the ultimate predator's world.,Come with us on an epic journey through some of the wildest landscapes on Earth as we take you deep into the ultimate predator's world.,"['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2840A001S00_610a0eb546ad5.jpg,['[]'],"['abc3', '3featured', 'family-viewing-abcme', 'family-viewing']",2022-03-16 09:45:00,PG,2602.0,,,come u epic journey wildest landscape earth take deep ultimate predator world,
4,2.0,,10054.0,Family,Australia Remastered: Nature's Great Divide,,,The hard line that separates the natural worlds of Asia from Australia is the leaping off point for amazing wild stories. The strong currents along the Wallace Line creates parallel narratives of fascinating differences.,"[""The narrow strait between the Indonesian islands of Bali and Lombok marks the boundary between the wild worlds of Asia and Australia. This is the story of life on each side of nature's great divide."", 'The Wallace Line divides separate worlds, where radically different animals live remarkably similar lives. This is the story of two parallel creations, and what happens when these worlds collide.', ""Safe behind the Wallace Line, life in Australia charted its own evolutionary course, in habitats defined by natural borders. This is the story of the wild kingdoms protected by Nature's Great Divide. (Final)""]","['ABC TV', 'DOCUMENTARY', 'SCIENCE', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1955H001S00_619c51f6d1696_1920.jpg,"[""['Host Aaron Pedersen']""]","['ocean', 'informative', 'natural-world', 'animals', 'factual', 'science', 'explore', 'docuseries', 'family-viewing', 'nature', 'abc1', 'australia', 'environment', 'wildlife', 'docs']",2021-12-07 21:27:05,G,"[3240.0, 3240.0, 3200.0]",,,hard line separate natural world asia australia leaping point amazing wild story strong current along wallace line creates parallel narrative fascinating difference,54.0
