0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
20,101,8,352,5,193,314,152.0,231.0,194.0,257.0,151.0,346.0,223.0,296.0,174.0,307.0,117.0,22.0,146.0,71.0,86.0,87.0,255.0,23.0,25.0,241.0,206.0,290.0,178.0,46.0,131.0,196.0,254.0,287.0,,,,,,,,,,,,
345,150,101,73,310,120,339,352.0,33.0,281.0,121.0,209.0,9.0,207.0,68.0,84.0,158.0,176.0,184.0,321.0,29.0,275.0,262.0,129.0,341.0,332.0,179.0,220.0,238.0,250.0,24.0,,,,,,,,,,,,,,,,
299,215,139,64,257,100,3,272.0,311.0,16.0,156.0,0.0,43.0,307.0,85.0,352.0,343.0,153.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,74,9,201,348,206,59,45.0,136.0,169.0,262.0,17.0,243.0,149.0,305.0,212.0,162.0,192.0,52.0,205.0,208.0,263.0,301.0,83.0,163.0,250.0,292.0,280.0,265.0,32.0,297.0,110.0,18.0,227.0,,,,,,,,,,,,,
105,50,139,182,225,121,88,211.0,352.0,113.0,321.0,346.0,33.0,201.0,185.0,251.0,186.0,167.0,317.0,168.0,189.0,39.0,60.0,178.0,312.0,245.0,205.0,104.0,254.0,249.0,,,,,,,,,,,,,,,,,
20,177,309,296,94,16,112,156.0,262.0,33.0,119.0,153.0,41.0,209.0,315.0,146.0,162.0,180.0,44.0,273.0,167.0,297.0,171.0,24.0,300.0,227.0,,,,,,,,,,,,,,,,,,,,,
333,296,232,269,352,177,311,225.0,132.0,51.0,317.0,102.0,219.0,305.0,9.0,147.0,325.0,338.0,196.0,332.0,92.0,316.0,270.0,155.0,297.0,,,,,,,,,,,,,,,,,,,,,,
67,51,311,161,49,108,182,180.0,318.0,191.0,339.0,125.0,207.0,281.0,352.0,185.0,344.0,171.0,42.0,203.0,181.0,159.0,15.0,266.0,79.0,61.0,250.0,,,,,,,,,,,,,,,,,,,,
8,237,5,352,217,16,134,79.0,19.0,63.0,311.0,26.0,23.0,53.0,219.0,285.0,327.0,97.0,109.0,163.0,186.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,
101,293,352,289,311,191,29,121.0,77.0,201.0,41.0,341.0,30.0,166.0,63.0,12.0,82.0,91.0,209.0,98.0,86.0,278.0,26.0,172.0,76.0,335.0,203.0,17.0,181.0,256.0,270.0,250.0,,,,,,,,,,,,,,,
174,296,105,125,237,3,177,347.0,75.0,204.0,10.0,0.0,342.0,47.0,217.0,166.0,71.0,45.0,230.0,77.0,90.0,112.0,281.0,337.0,352.0,322.0,207.0,194.0,275.0,329.0,89.0,350.0,145.0,277.0,223.0,183.0,285.0,13.0,195.0,286.0,173.0,131.0,32.0,141.0,,,
20,311,293,258,352,232,128,217.0,146.0,127.0,351.0,134.0,204.0,99.0,282.0,64.0,175.0,101.0,164.0,344.0,261.0,59.0,312.0,267.0,234.0,179.0,251.0,317.0,138.0,319.0,115.0,219.0,124.0,13.0,153.0,123.0,129.0,32.0,185.0,350.0,259.0,104.0,263.0,304.0,31.0,300.0,
224,344,136,128,113,351,253,56.0,194.0,0.0,137.0,305.0,81.0,331.0,40.0,52.0,319.0,189.0,264.0,145.0,13.0,350.0,53.0,163.0,251.0,349.0,83.0,171.0,138.0,203.0,,,,,,,,,,,,,,,,,
224,352,258,293,214,232,74,150.0,78.0,114.0,344.0,95.0,51.0,90.0,198.0,49.0,72.0,158.0,184.0,112.0,291.0,160.0,244.0,27.0,334.0,259.0,132.0,202.0,294.0,22.0,76.0,145.0,324.0,57.0,97.0,330.0,301.0,336.0,195.0,32.0,298.0,15.0,96.0,205.0,124.0,249.0,24.0
6,258,352,21,291,296,71,215.0,277.0,45.0,335.0,53.0,95.0,294.0,115.0,342.0,308.0,329.0,267.0,223.0,81.0,140.0,233.0,320.0,245.0,336.0,195.0,292.0,25.0,31.0,273.0,242.0,284.0,36.0,14.0,249.0,313.0,300.0,,,,,,,,,
20,258,224,101,344,50,67,215.0,122.0,321.0,309.0,152.0,268.0,73.0,77.0,184.0,120.0,142.0,259.0,158.0,119.0,46.0,245.0,200.0,91.0,22.0,12.0,144.0,227.0,,,,,,,,,,,,,,,,,,
